Issue Type,Issue key,Issue id,Description,Custom field (Serial Number),Custom field (Symptom),Custom field (Symptom),Custom field (Disposition),Custom field (SKU(s)),Custom field (Region),Custom field (Base SKU),Custom field (Root Cause),Custom field (Corrective Action),Comments,Comments,Comments,Comments,Comments,Comments,Comments,Comments,Comments,Comments,Comments,Comments,Comments,Comments,Comments,Comments,Comments,Comments,Comments,Comments,Comments,Comments,Comments,Comments,Comments,Comments,Comments,Comments,Comments,Comments,Comments,Comments,Comments,Comments,Comments,Comments,Comments,Comments,Comments,Comments,Comments,Comments,Comments,Comments,Comments,Comments,Comments,Comments,Comments,Comments,Comments,Comments,Comments,Comments,Comments,Comments,Comments,Comments,Comments,Comments,Comments,Comments,Comments,Comments,Comments,Comments,Comments,Comments,Comments,Comments,Comments
Bug,PCOPT-1415,1772120,"HD700INTL_EB1_1/2unit(87#),the outlet enclosure cracked at 40c/s(drop 3c/s) during ABR test.



!image-20241015-131617.png|width=160,height=220,alt=""image-20241015-131617.png""!",,,,,,,HD700INTL,"Injection issue, regrinding material used in EB pilot run",Monitor the injection process according to the SOP,Oct/25/2024 4:51 AM;5fc5b70f0d2f61006f98e31c;[~accountid:5f47241ad0884f0049f78559]  Could you pls help update RCCA via your process monitor? ,Dec/03/2024 8:27 PM;624f8ec9f6a2690069620ea4;regrinded material ,Apr/01/2025 3:33 AM;5bd81045bd2c4c2de48b76b3;[~accountid:712020:52049f88-2d3e-4c91-8ca9-43f8191bbbae] Please review when new molding sample can be ready for test,"Jun/03/2025 9:02 PM;712020:52049f88-2d3e-4c91-8ca9-43f8191bbbae;EB1.1 sample retest already done and got the positive test result,

[~accountid:5d79159348eec30c3bca0848] Would you help confirm the test result, thanks

!image-20250604-015838.png|width=193,height=180,alt=""image-20250604-015838.png""!",Jun/03/2025 10:53 PM;5d79159348eec30c3bca0848;[~accountid:712020:52049f88-2d3e-4c91-8ca9-43f8191bbbae]  No similar issues on EB1.1.,Jun/03/2025 11:07 PM;712020:52049f88-2d3e-4c91-8ca9-43f8191bbbae;[~accountid:61818e0e3e3753006f79682b] Would you help close this ticket base on the confirmation by lab,Jun/08/2025 10:15 PM;5bd81045bd2c4c2de48b76b3;[~accountid:61818e0e3e3753006f79682b] [~accountid:712020:7d4f1940-6db5-4d51-ba15-8593218ddbec] Could you please close the ticket based on positive result of improved sample?,Jun/09/2025 10:12 AM;712020:7d4f1940-6db5-4d51-ba15-8593218ddbec;[~accountid:5bd81045bd2c4c2de48b76b3]  do you have the test report for the passing unit?,Jun/18/2025 11:46 AM;712020:7d4f1940-6db5-4d51-ba15-8593218ddbec;[~accountid:712020:52049f88-2d3e-4c91-8ca9-43f8191bbbae] can you please add screenshot of passing result?,"Jun/18/2025 9:33 PM;712020:52049f88-2d3e-4c91-8ca9-43f8191bbbae;[~accountid:712020:7d4f1940-6db5-4d51-ba15-8593218ddbec] EB1.1 test, we don’t have this issue(PCOPT-1415) on EB1.1 sample, please help close this ticket, thanks

!image-20250623-010540.png|width=1851,height=218,alt=""image-20250623-010540.png""!",Jun/24/2025 9:01 AM;624f8ec9f6a2690069620ea4;[~accountid:712020:7d4f1940-6db5-4d51-ba15-8593218ddbec]  can you help to review ?,Jun/24/2025 4:38 PM;712020:7d4f1940-6db5-4d51-ba15-8593218ddbec;[~accountid:712020:52049f88-2d3e-4c91-8ca9-43f8191bbbae] [~accountid:624f8ec9f6a2690069620ea4] can you please attach the full test report for the passing EB1.1?,"Jul/07/2025 2:37 AM;712020:52049f88-2d3e-4c91-8ca9-43f8191bbbae;[^DQTP-ECN-TR20240820-022122-H700INTL-YDC-Alternative PCBA comp-20250604 (1).xlsx]

[~accountid:712020:7d4f1940-6db5-4d51-ba15-8593218ddbec] Please check the full test report for the passing EB1.1 .",Jul/10/2025 11:49 AM;712020:7d4f1940-6db5-4d51-ba15-8593218ddbec;[~accountid:712020:52049f88-2d3e-4c91-8ca9-43f8191bbbae]  aligned to close based on passing result,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bug,PCOPT-1414,1772117,"HD700INTL_EB1.1_3/3(05-X-301#,05-X-302#,05-X-303#),the metal grill of end cap fall off at 6c/s, 6c/s, 9c/s during Unit Drop Test 1 - 36"".

!image-20250604-070435.png|width=403,height=329,alt=""image-20250604-070435.png""!



HD700INTL_EB1_2/2(09-X-382#,87#),the metal grill of end cap fall off at 20c/s(drop 5c/s), 20c/s(drop 4c/s) during ABR Test.



!image-20241022-082524.png|width=173,height=110,alt=""image-20241022-082524.png""!





!image-20241105-054050.png|width=413,height=310,alt=""image-20241105-054050.png""!



HD700INTL_EB1_2/3units(09-X-388#,09-X-389#),the metal grill of end cap fall off after 5c/s,10c/s during Unit Drop Test 1 - 36"".



!image-20241015-131448.png|width=229,height=186,alt=""image-20241015-131448.png""!",,,,,,,HD700INTL,"History issue, structure design limit

This issue occurs in YDC-HD700US development process.

!image-20241204-054345.png|width=584,height=507,alt=""image-20241204-054345.png""!",No action,"Nov/01/2024 4:04 AM;5fc5b70f0d2f61006f98e31c;[~accountid:61818e0e3e3753006f79682b] as you know, it’s the general issue on HD300/HD700, the metal plate deformation was caused by the end cap plastic extrusion after drop test. 

Could you pls help close this ticket based on same issue link as  [https://sharkninja.atlassian.net/browse/HD700-26|https://sharkninja.atlassian.net/browse/HD700-26|smart-link] ","Dec/17/2024 2:31 AM;624f8ec9f6a2690069620ea4;[~accountid:61818e0e3e3753006f79682b] 

it is a design issue and existing whole HD200/300/500/700 design and MP process, and no optimized space for construction change,

so  if no complaints in field, and nothing can be changed since HD300 MP, suggest closing this ticket ","Jan/22/2025 5:22 PM;60c0bccf18e9f60071fa23d7;[~accountid:61818e0e3e3753006f79682b] Cleared to close, I will reopen if we see any field failures",Jan/23/2025 10:59 AM;61818e0e3e3753006f79682b;aligned to close - no in field complaints,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bug,PCOPT-1413,1769281,"EB0_1/3unit(K30#)tested, found the Component L1  in ALCI box fall off after after 30 times drops at 3ft height tear down checking.



!image-20241012-141754.png|width=300,height=367,alt=""image-20241012-141754.png""!",,,,,,,HD700US,Electrical component is not firm fixed ,"# add T2.0mm EVA foam to protect this inductor
# change pin width of inductor to 5mm from 3mm
# Add yellow glue to fix

!image-20241126-061618.png|width=612,height=293,alt=""image-20241126-061618.png""!","Oct/14/2024 11:49 PM;5fc5b70f0d2f61006f98e31c;[~accountid:5ece92c0c761b10c33e0989d]  pls refer to below link [https://sharkninja.atlassian.net/browse/VALENTINO-777|https://sharkninja.atlassian.net/browse/VALENTINO-777|smart-link] , we have improved on HD600. this EB we just used the old inventory EMC plug, could you accept to close it or still need to re-run test with new EMC plug power cord?[^LAP25-S1跌落测试改善方案-0625.pdf] ","Oct/15/2024 9:46 AM;5ece92c0c761b10c33e0989d;[~accountid:5fc5b70f0d2f61006f98e31c]  is this the exact same plug/PCBA layout as what’s being used on HD600? If no, please rerun. ",Oct/15/2024 9:35 PM;5fc5b70f0d2f61006f98e31c;[~accountid:5ece92c0c761b10c33e0989d]  Confirmed really same as HD600 initial MP and EB1. but now HD600 already implemented S2 plug( integrated main PCBA capacitor to plug compared with HD700). ,"Oct/21/2024 9:42 AM;5ece92c0c761b10c33e0989d;sorry [~accountid:5fc5b70f0d2f61006f98e31c]  can you help clarify again? 

Are you saying that we used the materials on this EB, but that we are proceeding to MP with the same S2 plug that HD600 is currently using? ","Oct/22/2024 2:09 AM;5fc5b70f0d2f61006f98e31c;[~accountid:5ece92c0c761b10c33e0989d] To clarifiy with you: 

#  pls see below S1/S2 plug picture. 



!S1.png|width=543,height=733,alt=""S1.png""!

!S2.png|width=436,height=735,alt=""S2.png""!



!S1&S2.png|width=1620,height=2160,alt=""S1&S2.png""!

# Pls refer to below HD600US EB test report.  HD600 S1 failed at EB1, passed at MB after improvement.  just to say Leshow HD600 has switched to S2 plug from S1 in Oct. 

!EB1.png|width=1302,height=393,alt=""EB1.png""!

!MB.png|width=1384,height=409,alt=""MB.png""!",Oct/22/2024 9:12 AM;60c0bccf18e9f60071fa23d7;[~accountid:5fc5b70f0d2f61006f98e31c] Can you confirm if HD500/700 will have S1 design without E cap? + [~accountid:5ece92c0c761b10c33e0989d] for visibility,"Oct/22/2024 9:58 AM;5ece92c0c761b10c33e0989d;[~accountid:5fc5b70f0d2f61006f98e31c]  Could you also clarify if this drop test is just with the cord or if it’s inclusive of the unit? 

If it’s with the unit, I think it would be valid to rerun the test as the unit weight / distribution of weight is different and could fall differently. ","Oct/23/2024 5:05 AM;5fc5b70f0d2f61006f98e31c;[~accountid:5ece92c0c761b10c33e0989d]  confirmed the drop test only used the ALCI plug without any unit, it just component level drop test.  you can find it at the OPT subject. 

!image-20241023-090430.png|width=1064,height=48,alt=""image-20241023-090430.png""!","Nov/25/2024 9:42 PM;712020:52049f88-2d3e-4c91-8ca9-43f8191bbbae;[~accountid:61818e0e3e3753006f79682b] EB1 test with improved sample, result is positive, would you please close this ticket according to the test result.

!image-20241126-024034.png|width=1638,height=477,alt=""image-20241126-024034.png""!","Dec/02/2024 2:49 PM;61818e0e3e3753006f79682b;eb1 test passed, aligned to close",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bug,PCOPT-1412,1769280,"EB1_3/3units(K210#, K211#,K212#) tested,The voltage set to 104V, Turn on the unit 10s, the unit stopped work with changed automatically after after placing in the chamber(0℃) 16H, After the units are restored to room temperature, they function normally.",,,,,,,HD700US," When the motor is operating at 120K speed, the software can not perfectly take into account both high and low voltage conditions.",SW upgrade from V2.07 to V2.08,Oct/14/2024 11:41 PM;5fc5b70f0d2f61006f98e31c;[~accountid:61a81ea2b43d5b006a6fc742]  [~accountid:5fc6eb47facfd6007634e0cf] pls help check if it’s caused by the SW protection. ,"Oct/21/2024 5:08 AM;61a81ea2b43d5b006a6fc742;[~accountid:5fc5b70f0d2f61006f98e31c]  Please refer to the FA report from GB.  When the motor is operating at 120K speed, the software can not perfectly take into account both high and low voltage conditions.  If there was no same failure from field or no customer feedback from market,  suggest to take this issue as low risk and close . thanks.

[^HD700US EB0 unit failure analysis report 20241021.pptx]

","Oct/22/2024 1:22 AM;5fc5b70f0d2f61006f98e31c;[~accountid:5ece92c0c761b10c33e0989d] [~accountid:61818e0e3e3753006f79682b]  pls refer to the FA report, looks like it’s caused by the SW/electrical component’s limtiation, and then till now no any effective improvement actions under the without cost increasing.  in additional, could you pls close this ticket based on 1) the main unit only can’t work under 104V, 2) when restored to room temperature, unit’s function normally. 3) never heard the similar compliant from QA. ",Oct/22/2024 9:06 AM;5ece92c0c761b10c33e0989d;[~accountid:5fc5b70f0d2f61006f98e31c]  I don’t remember seeing this issue on YDC production? Why are we seeing it now?,Nov/11/2024 7:40 PM;61818e0e3e3753006f79682b;[~accountid:5fc5b70f0d2f61006f98e31c] any update on comment below?,"Dec/05/2024 7:28 AM;624f8ec9f6a2690069620ea4;[~accountid:61818e0e3e3753006f79682b] 

pls see below comment from EE test report:

# Leshow /HD700US unit, the SW: V2.07.01) working in low voltage, the motor will stop working and restart again but working in high voltage without any abnormal situation.

2.YDC /HD700US unit, the SW: V2.06.01) working in high voltage, the motor will stop working and restart again but working in low voltage without any abnormal situation.

in YDC  SW:V2.07.01 ECN, haven’t mentioned this issue but in theory it existed ",Jan/17/2025 11:24 AM;61818e0e3e3753006f79682b;[~accountid:624f8ec9f6a2690069620ea4] did we test EB1.5 samples?,"Jan/20/2025 5:55 AM;712020:52049f88-2d3e-4c91-8ca9-43f8191bbbae;[~accountid:61818e0e3e3753006f79682b] The EB1.5 sample haven’t been arranged this test, because we think it can be closed by EE’s explanation, do you want to retest it?",Jan/27/2025 11:49 AM;61818e0e3e3753006f79682b;[~accountid:712020:52049f88-2d3e-4c91-8ca9-43f8191bbbae] yes please retest EB1.5,"Feb/08/2025 9:14 AM;712020:52049f88-2d3e-4c91-8ca9-43f8191bbbae;[~accountid:61818e0e3e3753006f79682b] Sorry for my mistake, double check the DQTP report, the EB1.5 have been arranged to retest this item and get the pass result. (Change :SW from V2.07 to V2.08)

Please help close this ticket, thanks.

!image-20250210-013917.png|width=1857,height=311,alt=""image-20250210-013917.png""!","Feb/12/2025 10:53 AM;61818e0e3e3753006f79682b;aligned to close, passed EB1.5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bug,PCOPT-1411,1765745,"EB1_1/3(30#)tested,the outlet trim is cracked after 24c/s during Unit Drop Test -36"".



!image-20241121-143053.png|width=163,height=120,alt=""image-20241121-143053.png""!



HD700US Leshow new SKU (ECN20240513-211219)_EB0_1/3unit(7#)tested,the outlet trim is cracked after 21c/s during Unit Drop Test -36"".



!image-20241010-104449.png|width=168,height=120,alt=""image-20241010-104449.png""!",,,,,,,HD700US, HD300 MP issue. ,Monitor the injection process,"Oct/12/2024 4:06 AM;5fc5b70f0d2f61006f98e31c;[~accountid:5ece92c0c761b10c33e0989d]  you know for HD700 project we didn’t do any change about the injection parts, and could you pls help close this ticket based on below same HD300 EB/MP opt link [https://sharkninja.atlassian.net/browse/DOLCE-420|https://sharkninja.atlassian.net/browse/DOLCE-420|smart-link] and customer complaint feedback?","Oct/15/2024 9:48 AM;5ece92c0c761b10c33e0989d;[~accountid:5fc5b70f0d2f61006f98e31c] agree that this isn’t related to the ECN, but the attached ticket looks like we’ve had a positive result with the change in injection parameter. Is there a reason why we aren’t following that? ",Oct/22/2024 9:09 AM;60c0bccf18e9f60071fa23d7;[~accountid:5fc5b70f0d2f61006f98e31c] Any update here?,"Oct/23/2024 9:53 AM;5fc5b70f0d2f61006f98e31c;[~accountid:60c0bccf18e9f60071fa23d7]  Will arrange to retest with EB1 improvement samples, estimated date 11/5.  Onsite QA and factory will keep monitor the parts injection to make sure all are correct. ","Jan/06/2025 6:43 AM;712020:52049f88-2d3e-4c91-8ca9-43f8191bbbae;[~accountid:5d79159348eec30c3bca0848] Would you help confirm that the EB1.5 test, we don’t have this issue anymore

[^Datesheet 3.04-1(3).xlsx]

",Jan/08/2025 9:10 PM;5d79159348eec30c3bca0848; No similar problems on EB1.5.,Jan/08/2025 9:16 PM;712020:52049f88-2d3e-4c91-8ca9-43f8191bbbae;[~accountid:61818e0e3e3753006f79682b] Would you please close this ticket base on positive test result on EB1.5,"Jan/10/2025 12:09 PM;61818e0e3e3753006f79682b;[~accountid:712020:52049f88-2d3e-4c91-8ca9-43f8191bbbae]  why does test results say pass at top, but at the bottom of the excel it says the conclusion is FAIL?","Jan/12/2025 8:26 PM;712020:52049f88-2d3e-4c91-8ca9-43f8191bbbae;[~accountid:61818e0e3e3753006f79682b] The No. 3.04-1 Unit Drop Test 1 - 36"" Height on ceramic floor on EB1, there are four OPT issues.

Retest the No. 3.04-1 Unit Drop Test 1 - 36"" Height on ceramic floor on EB1.5, OPT-1411 and OPT-1450 have been improved, so it was removed on EB1.5 test table, but still have OPT-1410 and OPT-1449 issues

So, the conclusion of No.3.04-1, the laboratory judged it was failed, but for the OPT-1411, it was improved, the laboratory also confirmed it below.

!image-20250113-010126.png|width=2105,height=219,alt=""image-20250113-010126.png""!","Jan/22/2025 5:26 PM;60c0bccf18e9f60071fa23d7;[~accountid:712020:52049f88-2d3e-4c91-8ca9-43f8191bbbae] this is not clear, please upload test result showing passing results","Feb/08/2025 9:55 AM;712020:52049f88-2d3e-4c91-8ca9-43f8191bbbae;!image-20250213-140353.png|width=890,height=490,alt=""image-20250213-140353.png""!

[~accountid:61818e0e3e3753006f79682b] Please check the attached picture for explaining and help to close this ticket

[~accountid:60c0bccf18e9f60071fa23d7] Checking with lab engineer, because there is other failed points, so it can’t judge pass result, but the failed points have been aligned to close, please check attached picture for explaining",Feb/20/2025 5:57 PM;61818e0e3e3753006f79682b;[~accountid:712020:52049f88-2d3e-4c91-8ca9-43f8191bbbae]  i am not clear what it means to be passing but not pass in lab?,"Mar/10/2025 7:09 AM;624f8ec9f6a2690069620ea4;[~accountid:61818e0e3e3753006f79682b] 

it is said in EB1.5 (see below DQTP screenshot), this issue hasn’t occurred and haven’t been raised again in EB1.5 DQTP, so test passed, pls help to review to close this ticket, thanks 

!image-20250310-110649.png|width=735,height=312,alt=""image-20250310-110649.png""!","Mar/11/2025 12:54 PM;61818e0e3e3753006f79682b;passed eb1.5 testing, aligned to close",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bug,PCOPT-1410,1765693,"EB1_1/2(R02)tested, the metal grill of end cap deformation at 20c/s during ARB Test.

!image-20250115-071931.png|width=368,height=257,alt=""image-20250115-071931.png""!



EB1.5_2/3(K02,K03)tested, the metal grill of end cap deformation at 16c/s,10c/s during  during Unit Drop Test -36"".



!image-20250103-072402.png|width=210,height=148,alt=""image-20250103-072402.png""!



EB1_1/3(K05)tested, the metal grill of end cap deformation after 20c/s during Unit Drop Test -36"".



!image-20241121-142954.png|width=177,height=128,alt=""image-20241121-142954.png""!




EB0_2/3units(101#,102#)tested, the metal grill of end cap fall off after 24c/s,15c/s during Unit Drop Test -36"".

!image-20241010-075918.png|width=303,height=215,alt=""image-20241010-075918.png""!

EB0_1/2(6#)tested, the metal grill of end cap deformation at 20c/s(drop 4c/s)during Unit ABR test.

!image-20241031-084425.png|width=278,height=208,alt=""image-20241031-084425.png""!",,,,,,,HD700US,"HD300 MP issue, unrelated with HD700 project ",,"Oct/12/2024 3:55 AM;5fc5b70f0d2f61006f98e31c;[~accountid:5ece92c0c761b10c33e0989d]  pls refer to YDC same OPT link [https://sharkninja.atlassian.net/browse/PCOPT-1399|https://sharkninja.atlassian.net/browse/PCOPT-1399|smart-link] , could you pls also close this ticket?",Oct/15/2024 9:57 AM;5ece92c0c761b10c33e0989d;aligned to close as this isn’t related to this ECN. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bug,PCOPT-1409,1765662,"EB1_2/3(1#,2#) tested, at High heat/High flow the average dry time 392s,392s over spec 371s.",,,,,,,HD700US,the drytime test data has big cap between SN suzhou lab and UL lab..,N/A,"Oct/12/2024 3:53 AM;5fc5b70f0d2f61006f98e31c;[~accountid:5ece92c0c761b10c33e0989d]  per talked last time, could you pls help close this ticket based on YDC UL drytime test result since the same configuration?",Oct/21/2024 9:43 AM;5ece92c0c761b10c33e0989d;[~accountid:5fc5b70f0d2f61006f98e31c]  do you have the Leshow and the YDC SZ dry time results to compare any delta between the 2?,"Oct/22/2024 3:54 AM;5fc5b70f0d2f61006f98e31c;[~accountid:5ece92c0c761b10c33e0989d]  Pls see below comparsion table, i can’t find the UL test data, if could pls double check. 

considering the difference, if can’t accept to close, i will arrange retest with leshow EB1 samples. 

!image-20241022-075320.png|width=214,height=86,alt=""image-20241022-075320.png""!",Oct/22/2024 9:07 AM;5ece92c0c761b10c33e0989d;[~accountid:5fc5b70f0d2f61006f98e31c] do we know the temp and flow data of samples #1 and #2?,"Oct/23/2024 6:17 AM;5fc5b70f0d2f61006f98e31c;[~accountid:5ece92c0c761b10c33e0989d] Just found the outlet temp from the test report as below: 

!image-20241023-101744.png|width=286,height=135,alt=""image-20241023-101744.png""!

Anyway, i will arrange the retest at leshow EB1. ","Nov/25/2024 9:22 PM;712020:52049f88-2d3e-4c91-8ca9-43f8191bbbae;[~accountid:61818e0e3e3753006f79682b]  , The EB1 retest result is positive as below, would you please close this ticket, thanks

!image-20241126-022026.png|width=1189,height=307,alt=""image-20241126-022026.png""!","Dec/02/2024 2:52 PM;61818e0e3e3753006f79682b;eb1 test passes, aligned to close",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bug,PCOPT-1408,1762649,"HD700INTL_EB1(Config A)_3/3(81#,82#,83#) tested,the noise test data are 83.5dB,  83.2dBA ,83.3dBA out of spec 83dBA.

HD700INTL_EB1(Config B)_3/3(84#,85#,86#) tested,the noise test data are 83.9dB,  84.0dBA ,83.3dBA out of spec 83dBA.",,,,,,,HD700,HF rpm increasing to 120k,"# DOE test 115K RPM, dry time compare Dyson, then send out to US team to confirm.
# PS change to be 115K RPM
# ECN to introduce 115K RPM",Oct/09/2024 4:55 AM;5fc5b70f0d2f61006f98e31c;[~accountid:5ece92c0c761b10c33e0989d]  just would like to confirm with you if this ECN project need to go ahead since the noise raised up?,"Jun/18/2025 8:41 AM;712020:2b3e275c-7bc2-4202-8ec0-77b22f05d068;[~accountid:624f8ec9f6a2690069620ea4] to update ticket information
[~accountid:624f8ec9f6a2690069620ea4]  to run dry time testing at 115k RPM vs Dyson Supersonic

[~accountid:624f8ec9f6a2690069620ea4] to send x3 units to US for review of units at 115K RPM. Test vs Dyson Supersonic

Review the data from the above actions prior to running testing at UL","Jul/21/2025 9:34 AM;712020:52049f88-2d3e-4c91-8ca9-43f8191bbbae;115k RPM vs Dyson Supersonic

!image-20250721-133435.png|width=748,height=269,alt=""image-20250721-133435.png""!

3 HD700US pcs samples will be shipped to US before 7/25","Oct/14/2025 9:06 AM;624f8ec9f6a2690069620ea4;[~accountid:712020:7d4f1940-6db5-4d51-ba15-8593218ddbec] 

ECN have been cancelled, pls close this ticket, thanks","Oct/22/2025 11:09 AM;712020:7d4f1940-6db5-4d51-ba15-8593218ddbec;[~accountid:624f8ec9f6a2690069620ea4]  we are NOT accepting this failure (noise and drytime), but are closing ticket due to the fact we are not moving forward with 115K","Oct/26/2025 3:34 AM;624f8ec9f6a2690069620ea4;Yes , have DR, thanks",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bug,PCOPT-1407,1762608,"HD731_EB1_1/3MC(208#) tested, Concentrator surface was scratched of 1 unit after test.



!image-20241009-050435.png|width=213,height=144,alt=""image-20241009-050435.png""!",,,,,,,HD700US,"removed the outer master carton, tested the units with color box only.",wrap the color box with 1 in 1 MC.,"Dec/02/2024 1:06 AM;712020:52049f88-2d3e-4c91-8ca9-43f8191bbbae;[~accountid:5c61966458edf75c2b8e243a]  Please fill in the RCCA ,thanks","Mar/12/2025 4:35 AM;5c61966458edf75c2b8e243a;have passed ISTA-6A.

[^Special Test-TR20241227-024253-HD731-YDC-ISTA-6A Test-20250310.xlsx]

",Mar/12/2025 5:00 AM;712020:52049f88-2d3e-4c91-8ca9-43f8191bbbae; [~accountid:61818e0e3e3753006f79682b] Please help close this ticket base on pass result,Mar/17/2025 11:28 AM;61818e0e3e3753006f79682b;ISTA-6A passing result,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bug,PCOPT-1406,1762607,"HD731_EB1_2/3MCs(207#,208#) tested, EMC Box surface was scratched of 2 units after test.



!image-20241009-050323.png|width=380,height=133,alt=""image-20241009-050323.png""!",,,,,,,HD700US,removed the outer master carton and tested the units with color box only.,wrap the color box with a 1 in 1 MC.,"Dec/02/2024 1:07 AM;712020:52049f88-2d3e-4c91-8ca9-43f8191bbbae;[~accountid:5c61966458edf75c2b8e243a] Please fill in the RCCA ,thanks","Mar/12/2025 4:36 AM;5c61966458edf75c2b8e243a;have passed ISTA-6A test.

[^Special Test-TR20241227-024253-HD731-YDC-ISTA-6A Test-20250310.xlsx]

",Mar/12/2025 5:00 AM;712020:52049f88-2d3e-4c91-8ca9-43f8191bbbae;[~accountid:61818e0e3e3753006f79682b] Please help close this ticket base on pass result,Mar/17/2025 11:32 AM;61818e0e3e3753006f79682b;passing result - ISTA-6A testing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bug,PCOPT-1402,1759620,"HD700US_EB1_1/2unit(09-X-284#), the accessory release button got stuck and can't rebound  to original position with Rotating Round Brush at 7c/s  during ABR Test.",,,,,,,HD700US,"The size of round brush connector smaller than specification, and the stick push rod cannot move to joint connecting with the round brush, causing the brush can nnot be locked

!image-20241219-025930.png|width=1375,height=797,alt=""image-20241219-025930.png""!",Quality injection dimension control,Oct/12/2024 4:03 AM;5fc5b70f0d2f61006f98e31c;[~accountid:5f47241ad0884f0049f78559]  Could you find any simiar issue on MP samples after your kindly checking?,"Dec/04/2024 8:53 PM;5f47241ad0884f0049f78559;The tooling is fixed, no more similar issue in MP now.","Dec/04/2024 9:51 PM;5fc5b70f0d2f61006f98e31c;[~accountid:61818e0e3e3753006f79682b]  based on Rick’s confirmation, could you pls close this ticket, thanks! ","Jan/08/2025 1:04 AM;712020:52049f88-2d3e-4c91-8ca9-43f8191bbbae;[~accountid:61818e0e3e3753006f79682b] Please check the root cause analysis, it can be controlled ,suggest closing this ticket",Jan/10/2025 12:11 PM;61818e0e3e3753006f79682b;[~accountid:712020:52049f88-2d3e-4c91-8ca9-43f8191bbbae]  has SOP been updated?,"Jan/13/2025 2:12 AM;712020:52049f88-2d3e-4c91-8ca9-43f8191bbbae;[~accountid:61818e0e3e3753006f79682b] Yes, already checked the SIP (Standard injection Procedure) of this part from YDC, the related critical dimensions are in it.

!image-20250113-070724.png|width=1144,height=430,alt=""image-20250113-070724.png""!

!SIP.png|width=606,height=485,alt=""SIP.png""!",Jan/17/2025 11:14 AM;61818e0e3e3753006f79682b;aligned to close,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bug,PCOPT-1401,1759619,"HD700US_EB1_1/2unit(09-X-284#), Hair stuck in polisher at 76c/s during ABR test.



!image-20241008-114420.png|width=325,height=253,alt=""image-20241008-114420.png""!",,,,,,,HD700US,"MP issue, unrelated with ECN SW updating. ",N/A,"Oct/09/2024 4:20 AM;5fc5b70f0d2f61006f98e31c;[~accountid:5ece92c0c761b10c33e0989d]  pls refer to same opt link [https://sharkninja.atlassian.net/browse/PCOPT-1147|https://sharkninja.atlassian.net/browse/PCOPT-1147|smart-link] [https://sharkninja.atlassian.net/browse/DOLCE-384|https://sharkninja.atlassian.net/browse/DOLCE-384|smart-link] , as you know we have started to develop polisher Gen2, let’s focus on Gen2 polisher and this ticket was unrelated with SW updating. ",Oct/11/2024 7:18 PM;5ece92c0c761b10c33e0989d;aligned to close as this isn’t based on SW change. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
